3311220,25-11-2018,FALSE,55458,switch,dolor vel,,50036,Mathew Hillatt,,75-010-5658,primary,1001
3311221,05-10-2018,TRUE,65972,jcb,curae donec pharetra,,50049,Alex Hacquel,,44-214-8657,primary,1002
3311222,05-03-2020,TRUE,52750,jcb,interdum in ante,,50061,M.G.Road,,00-568-6394,primary,1003
3311223,02-03-2020,FALSE,55300,jcb,commodo placerat praesent,,50069,Hope Sinnock,,74-488-6287,primary,1004
3311224,18-01-2019,TRUE,50244,jcb,consectetuer eget,,50087,Liva Bulch,,44-168-1592,primary,1005
3311225,06-03-2021,FALSE,54376,jcb,sapien non,,50117,Lisha McGriffin,,29-724-9242,primary,1006
3311226,16-05-2021,TRUE,81870,visa-electron,vel est donec,,50138,Syman Preskett,,83-675-5474,primary,1007
3311227,10-09-2021,TRUE,93865,jcb,ante nulla,,50142,Augusta McIlory,,05-754-6677,primary,1008
3311228,29-08-2019,FALSE,61851,mastercard,sed augue aliquam,,50179,Harrie Cawkill,,66-191-1759,primary,1009
3311229,06-01-2020,TRUE,55757,mastercard,at diam nam tristique,,50192,Scot De Lisle,,60-599-7747,primary,1010
3311230,02-03-2022,TRUE,97925,switch,primis in faucibus,,50200,Clayton Redmain,,38-653-8511,primary,1011
3311231,26-06-2022,TRUE,82055,jcb,vivamus vestibulum sagittis,,50202,Darla Junkin,,27-011-5389,primary,1012
3311232,22-12-2018,TRUE,82204,jcb,purus aliquet at,,50210,Danyette Wonfor,,12-695-8464,primary,1013
3311233,04-04-2019,TRUE,71030,americanexpress,sem fusce,,50217,Barny Cattell,,51-777-3794,primary,1014
3311234,07-05-2021,TRUE,94766,jcb,ipsum ac,,50223,Glori Wattisham,,55-742-4636,primary,1015
3311235,26-04-2021,FALSE,72099,bankcard,integer ac leo pellentesque,,50226,Madalyn Greep,,36-454-7643,primary,1016
3311236,04-07-2019,FALSE,63257,mastercard,platea dictumst aliquam augue,,50236,Leslie Hedman,,89-763-8589,primary,1017
3311237,31-05-2020,FALSE,51460,switch,diam id ornare,,50246,Carmine Kesteven,,11-341-3860,primary,1018
3311238,27-03-2021,TRUE,98869,china-unionpay,nec sem,,50256,Whitney Bourgour,,55-918-9439,primary,1019
3311239,17-05-2019,FALSE,50606,americanexpress,nisi at,,50265,Amaleta Sprionghall,,52-598-4035,primary,1020
3311240,25-10-2020,FALSE,84441,bankcard,eget vulputate,,50271,Raynard Grimme,,19-530-2531,primary,1021
3311241,24-03-2021,FALSE,60471,diners-club-international,dui nec nisi volutpat,,50277,Yule Ickovitz,,25-405-7506,primary,1022
3311242,05-05-2019,TRUE,77461,americanexpress,enim sit amet,,50279,Rosabel Jenny,,49-540-8725,primary,1023
3311243,08-04-2020,TRUE,81101,jcb,molestie nibh in lectus,,50291,Elissa Jelkes,,09-685-6245,primary,1024
3311244,17-08-2021,FALSE,97650,mastercard,convallis duis consequat,,50345,Yolanthe Mill,,97-630-8053,primary,1025
3311245,02-09-2021,TRUE,85455,jcb,interdum in ante,,60351,Briggs Waller-Bridge,,97-836-1801,primary,1026
3311246,24-10-2018,TRUE,62633,jcb,nisl ut volutpat,,50367,Traver O'Lennane,,98-063-7390,primary,1027
3311247,19-07-2021,TRUE,93213,jcb,sem mauris,,50368,Lark Feander,,30-895-7884,primary,1028
3311248,21-01-2022,FALSE,58965,mastercard,magna vestibulum,,50386,Moyra Harback,,28-456-6190,primary,1029
3311249,07-05-2022,TRUE,83168,jcb,amet nulla quisque arcu,,50430,Raynell Porcher,,07-087-9230,primary,1030
3311250,28-04-2020,TRUE,68359,mastercard,faucibus orci,,50432,Melitta Willimont,,09-882-5073,primary,1031
3311251,18-02-2022,FALSE,65771,jcb,maecenas rhoncus aliquam,,50456,Pietro Grave,,29-991-7970,primary,1032
3311252,22-05-2020,TRUE,58493,bankcard,vestibulum sagittis sapien,,50485,Olenolin Abramowitch,,79-803-8928,primary,1033
3311253,01-05-2020,TRUE,86757,switch,aliquet pulvinar sed,,50509,Michal Winthrop,,00-362-6749,primary,1034
3311254,31-01-2019,FALSE,99411,jcb,eget massa,,50545,Milzie Binion,,15-102-1372,primary,1035
3311255,03-12-2018,FALSE,83008,jcb,tristique est,,50546,Emlynn Cockburn,,85-534-9412,primary,1036
3311256,23-07-2022,FALSE,80056,jcb,dis parturient montes,,50556,Judi Glusby,,91-085-9846,primary,1037
