9898000,718228,auto,6,31-03-2018,44,547,07-01-2018,380376,50006,Ninette Melwall,50-978-2376,50036,75-010-5658
9898001,839928,personal,9,24-07-2018,18,191,24-01-2018,1651516,50077,Rowland Marshal,28-871-4722,50049,44-214-8657
9898002,285262,auto,8,30-09-2017,29,139,06-02-2018,992521,50083,Brand Marfield,14-477-0047,50061,00-568-6394
9898003,577990,auto,8,06-01-2018,51,125,24-10-2017,1180612,50131,Barbi Schulze,88-504-0992,50069,74-488-6287
9898004,698290,auto,9,20-05-2018,39,270,25-07-2018,844498,60144,Biron Dunguy,95-830-6200,50087,44-168-1592
9898005,658534,personal,9,23-05-2018,17,120,15-04-2018,1699137,50144,Natal Dankov,43-654-7978,50117,29-724-9242
9898006,674255,personal,9,11-08-2017,20,159,24-02-2018,1640850,50167,Devan Brampton,64-844-0937,50138,83-675-5474
9898007,217076,education,8,11-08-2017,34,804,31-03-2018,224732,50193,Arin Pounds,61-581-7705,50142,05-754-6677
9898008,253079,personal,8,07-05-2018,36,949,11-07-2018,1742510,50239,Rosetta Aldrick,33-487-3799,50179,66-191-1759
9898009,106918,home,6,27-06-2018,29,980,21-09-2017,374850,50294,Giuditta Jutson,57-723-2367,50192,60-599-7747
9898010,949955,education,7,21-11-2017,45,551,30-04-2018,772491,50303,Ninnette Durward,30-408-5396,50200,38-653-8511
9898011,60868,education,11,06-08-2017,29,976,07-05-2018,1005339,50339,Roberta Neal,14-462-8266,50202,27-011-5389
9898012,183357,auto,9,30-03-2018,54,694,22-11-2017,948373,60345,Sergei Tease,61-704-3499,50210,12-695-8464
9898013,918845,commercial,6,24-05-2018,16,159,10-08-2017,950268,50351,Jaymee Braghini,39-329-8439,50217,51-777-3794
9898014,238596,home,7,09-03-2018,33,740,16-10-2017,1142573,50388,Lenora Oattes,55-498-4037,50223,55-742-4636
9898015,78252,commercial,7,09-12-2017,52,800,31-05-2018,1707977,50397,Annette Hedon,13-343-9160,50226,36-454-7643
9898016,243806,auto,7,05-08-2017,54,841,08-05-2018,1102955,50400,Eadith Danniell,85-009-3128,50236,89-763-8589
9898017,537689,commercial,12,30-08-2017,33,235,25-12-2017,1644125,50401,Ashia Penk,13-077-7836,50246,11-341-3860
9898018,504079,commercial,11,01-04-2018,58,392,06-03-2018,699257,50450,Rowen Laver,17-096-8293,50256,55-918-9439
9898019,455551,education,9,05-06-2018,25,238,23-02-2018,391896,50454,Mae Hukins,51-212-5275,50265,52-598-4035
9898020,829679,personal,12,23-11-2017,35,269,25-05-2018,1969864,60455,Carly Towner,80-419-3468,58872,13-501-4694
9898021,832259,education,12,07-06-2018,55,236,12-02-2018,1528242,50455,Modestine Sidle,47-087-0233,58873,96-735-0858
9898022,594699,auto,12,10-07-2018,34,365,06-04-2018,896865,60486,Layla Wingatt,32-703-7410,58881,99-559-8743
9898023,403667,commercial,11,01-05-2018,51,399,19-01-2018,1903154,50486,Arvin Hirschmann,90-978-0827,58908,65-430-6412
9898024,476153,auto,8,17-04-2018,60,570,16-08-2017,650594,50491,Basile Weepers,10-661-1672,58926,42-122-9901
9898025,724482,commercial,11,25-04-2018,42,861,08-06-2018,1170684,50499,Irvin Swaden,54-826-3272,58933,20-788-3192
9898026,417678,education,11,11-04-2018,25,924,09-07-2018,508832,50521,Hugh Arrigo,33-959-6662,58945,36-086-2553
9898027,211419,commercial,12,03-11-2017,51,813,28-03-2018,715071,50628,Desirae Dreus,36-958-6429,58975,76-932-7805
9898028,43712,home,8,01-04-2018,34,659,19-10-2017,217502,60635,Ollie Targetter,10-380-5093,58984,95-438-0778
9898029,878078,commercial,9,31-07-2018,49,331,25-09-2017,1724744,50670,Latia Sunner,94-606-6488,59030,30-352-0683
9898030,483216,auto,11,11-08-2017,37,522,08-03-2018,219181,50671,Jenn Houldcroft,56-510-6639,59035,26-640-9631
9898031,651302,education,10,01-03-2018,34,292,09-03-2018,1713890,50682,Kamilah Axon,01-603-5639,59100,53-321-8982
9898032,11682,education,9,14-03-2018,23,653,12-05-2018,926634,50690,Jerry Channer,14-988-1240,59120,43-952-0630
9898033,443863,home,10,11-03-2018,50,320,17-10-2017,570746,50694,Kaitlyn Adam,70-171-4035,59202,49-269-7712
9898034,280935,commercial,6,21-03-2018,30,242,02-05-2018,1138512,50698,Axel Wilde,20-824-6965,59216,71-701-4934
9898035,363264,home,7,03-07-2018,56,864,09-05-2018,470003,50714,Reid Gontier,84-103-0750,59224,11-383-9610
9898036,21872,home,6,14-04-2018,59,348,14-12-2017,95312,50719,Andras Witchalls,25-545-0530,59245,50-647-8160
9898037,283605,auto,9,28-01-2018,60,447,27-12-2017,668129,50744,Moreen Divill,54-829-3669,59246,13-793-7868
9898038,978900,auto,10,03-05-2018,28,811,31-08-2017,1418936,50756,Rivalee Petasch,18-340-5214,59255,20-866-9770
9898039,798388,education,7,23-02-2018,26,142,30-09-2017,598825,50774,Joanne Hurne,55-977-5625,59327,47-628-3900
9898040,99262,auto,9,09-07-2018,15,344,15-01-2018,738418,50777,Lowrance Firle,47-271-8737,59332,07-891-6933
